id,platform,year,keyword,date,title,url,content_path
cnn_2023-02-02_42,cnn,2023,Lunar New Year,2023-02-02,Lantern Festival celebrations (photos) - CNN,https://news.google.com/rss/articles/CBMiakFVX3lxTE1Eb3VLR290NE5oVXNnWExabExwbkM2aGg4d214WlFmQWlZamxCUG0zYmdhU3RHRnBsZHBKdlIwMVlNLUROdENENjl4Ujl4YlFtRWl5MWwwb1FPLW84d1YxbTNzaGF4ck03b0E?oc=5,cnn_2023-02-02_42.txt
cnn_2023-01-22_43,cnn,2023,Lunar New Year,2023-01-22,Hong Kong Palace Museum: How to celebrate Lunar New Year like an Emperor - CNN,https://news.google.com/rss/articles/CBMihAFBVV95cUxNcVA5R05jeVRINkpic01zRDFDTURmRnFHay1nX2gxbTlIaW1wOHctcFNoTnRyS0owamV4WTJ1Uk1ualZSOS0temNnRW5Jb3hxb0dOSUtKd3ZZSXRudmxsTFN4S2ZUSy1LRkN1RF9XTlh5dDdqZzdULWNDN041U1BIMDNpN3M?oc=5,cnn_2023-01-22_43.txt
cnn_2023-01-21_44,cnn,2023,Lunar New Year,2023-01-21,Lunar New Year 2023: An illustrated guide to celebrating the Year of the Rabbit - CNN,https://news.google.com/rss/articles/CBMiiAFBVV95cUxOdFhxZzVQcE5GVE5PbUlqa0hUZ1NOLWI0Z1gwQWNIbmZnWjNVUjNZcjhwb3hZVU9Scm00RjNUVjBTWnROVm9LMjFNTnQ0d1VlaENRQllTRWw5OXV3M014TUpvYWxnd25MdUtyRlNZd0szWTVTQ2FEQURnQUpsYU1GVzBSejlkZ0ZO?oc=5,cnn_2023-01-21_44.txt
cnn_2023-01-21_45,cnn,2023,Lunar New Year,2023-01-21,Opinion: This most important day for Asian Americans has a meaning everyone can embrace - CNN,https://news.google.com/rss/articles/CBMihAFBVV95cUxNcjh3S1l6RmVaRUVSZ3lGQTdEU05Pa1NKbll1MzRvTFFCNmE5ekVfUkExWEJqeWZHQWNrZFo0ZGluUFJrakRTVXY5cW5yUmhqUmtlS0lnNlZ4TC1DMlpHSGRKX19Zck5WZ1FRSUNWcVBlb24xUnVnZVhHTnF4OWlOSXNsNUk?oc=5,cnn_2023-01-21_45.txt
cnn_2023-01-23_46,cnn,2023,Lunar New Year,2023-01-23,A Lunar New Year fit for an Emperor - CNN,https://news.google.com/rss/articles/CBMipgFBVV95cUxQTUZFcTd2Nm5yakdRbUJHa0pFdmllbm5Ca3daT0o1ZHl1TTRIUGp5b25xNXN1Y0pqWXdPZjRBRmpsVTBWaVFiY3B0VnVhZnhzd3pSRE82QXNRWWhzcTVtZGdXdHZRQjNQQWRfR0ZtVXVELXVFNy1kSU92MFNPUkNRaDVWOUM2dVJkUnZDalYyTkFCSExjZTNVNUlvb0p3azBLWlViclB3?oc=5,cnn_2023-01-23_46.txt
cnn_2023-01-19_47,cnn,2023,Lunar New Year,2023-01-19,"The complicated story behind longevity noodles, a popular Lunar New Year dish - CNN",https://news.google.com/rss/articles/CBMiggFBVV95cUxPd1dRQ2hsbm1fU19FYW1VTGRxdkRtck82VDFwbjNSWTF2Rnl5eWY1TzRXQmNWbmRtaG0zbDl5RFl4T0UyUnhKM1g3eW40OV9qeHRhV19mbGJMZnQ2WkhDZ2liVmFWYVJncEQ5cFFPek5JU0hGZ0NRNzFnck5iVE9YWlNB?oc=5,cnn_2023-01-19_47.txt
cnn_2023-02-02_48,cnn,2023,Lunar New Year,2023-02-02,"Celebrating the Lantern Festival, Lunar New Year’s grand finale - CNN",https://news.google.com/rss/articles/CBMibkFVX3lxTE5KazljRnpsdXUtWnJ3bE9VUXloUkh2eE0tY3hRUFFvNE1hYXNIT3M4ZG5UckFSeHB5MENMVjczdkFBVklVUEUyVllCa05WRV8wX0hSc2xSck9mUmZ6Y0w3UTRrVnAyN2Y4NWJGT01n?oc=5,cnn_2023-02-02_48.txt
cnn_2023-01-23_49,cnn,2023,Lunar New Year,2023-01-23,Chinese zodiac fortune predictions: What’s in store for the Year of the Rabbit? - CNN,https://news.google.com/rss/articles/CBMigAFBVV95cUxNd1hfbWQ0RDN4QlN6eFUxQnZ3YVdMakNUd3VUSVB6emVmTXZ2VmNCX2RDelBDYThCQi1rR3BIYjZLM0tkRlk2NmF1TVV3VkRPa2RMVHRIcjZLLVNKMVJvaXB4SEo4NzBGeWllZ28yVmJEMTJKY191Zm5RQXBhMmVEVQ?oc=5,cnn_2023-01-23_49.txt
cnn_2023-01-23_50,cnn,2023,Chinese New Year,2023-01-23,"CNN 10: The big stories of the day, explained in 10 minutes - CNN",https://news.google.com/rss/articles/CBMiZ0FVX3lxTFB5RzRRU0FmZnFRS3gyQTMxLS1ONm5JNXpOa29way00RndYYWdJX3VFYzJsTGU1RExQVjBVQ0Y0SlA2eVVVNHg4dmU1dFAxTExXNV9SbTloNlllOEYxMGsya0otNDN1Szg?oc=5,cnn_2023-01-23_50.txt
cnn_2023-01-19_51,cnn,2023,Chinese New Year,2023-01-19,Opinion: Why I’m embracing a daily pair of red underwear this year - CNN,https://news.google.com/rss/articles/CBMikgFBVV95cUxPVE50MmhIMTdZUVFqMWgtRnI4ckhWMFZEaFlfQzdwelR5ZmRWalJyNEtMdlBpM0VYS2VkZFRNYWVvUXg0Mkh1eUsyb294eklaT3lzZ2c0MGtOQy1NNEFtLTJJb05FZnk0a0dNay1CdkpXR1JFeG1qTVpfSDlOTGxOYnh0b1pJeDBlRjd2X3BYV3Y5QQ?oc=5,cnn_2023-01-19_51.txt
