title,link,pub_date,content
"As the coronavirus spreads, fear is fueling racism and xenophobia - CNN",https://news.google.com/rss/articles/CBMif0FVX3lxTFBEYnBNN0dDQVBXWTdhODF3QzdWRkloVzQtbjZ1LUFyc0k5Vmc1YWZjMS13ZVJOcEwteDh4anN6UVVLWWw4cTVuRFBGNWVGOXJWY0tRVFhacVJpWFNwM1ZKQTc3RXFWQy1vb25KSXRjaWRvY182OHdWRTlNNXVPeDg?oc=5,"Fri, 31 Jan 2020 08:00:00 GMT",[No article text found]
Coronavirus fears reawaken SARS nightmare in Hong Kong - CNN,https://news.google.com/rss/articles/CBMiwgFBVV95cUxQMWlHbzVmVkZieDZUX1R2MVozZUFpVXE1OHlsOFFYWU14OVFVTmYzbzFWaWNqNU5weWdqQndzdjYtUEJKX1pnMG1lNWhhZHp3Y2hBZEotQUdoWGIyZVJZRUh4SjMyaUlQcjQwcmFyTzFZcE1nUWpDNHc5QlRJTkF0UEE1dGF5RVVDcV95eHY5M1JwQWJNUWZUR2RDLURjaTkzS2VqRS0zSnlSUXBJWExkVGpsWGZUVTlwZ2dpSFRjcFdfUQ?oc=5,"Fri, 31 Jan 2020 08:00:00 GMT",[No article text found]
Global shipping has been hit by the coronavirus. Now goods are getting stranded - CNN,https://news.google.com/rss/articles/CBMidkFVX3lxTE9Hc284c1RXc25haE11ZV9GZUdsYkdtZnEwNVVONDlBbVhBTy1oZjRTMkVWRERJQm1xZ1VSOTBKRjFiRlFmQ1k2YjhyaWNSRVhhUklvYWJQa3A5Q3BFT3FwaFdDanl2WmY2VGxacHA4ckxXT2VqUnc?oc=5,"Wed, 05 Feb 2020 08:00:00 GMT",[No article text found]
Wuhan outbreak leaves China’s gambling mecca a ghost town - CNN,https://news.google.com/rss/articles/CBMie0FVX3lxTFB2V0syblJtLXJESTg2X1lFSkRybVdoV25QM0x6bFJYSGpUd1Fma3FLQ0s4TVIzYkMxcmJxQ2hzWmRLS3RnY2d4dFdxQW5uRE5YX2ZVeV92eEJhX202M3BYaGhjMnJ4ZzVEcVBURzFqX3ZkRFN1OVlLSUZVSQ?oc=5,"Tue, 04 Feb 2020 08:00:00 GMT",[No article text found]
Disney could take a $280 million hit from its Chinese parks because of the coronavirus and protests - CNN,https://news.google.com/rss/articles/CBMiiwFBVV95cUxPYWN1WjZHemR6R1pseG9ZR0NZd0pUZHdkOUJVdXU3X3JmYjdSNFJlQWRQckVvTzNlY1E5c1FuaUwwakFzb0NUdWk3aVV6cVZYYVJZNEFwM1M3d25CX0w3S0VwQUVvNTZBWk9fM0lJaUZVWGpUZE5HbFRTQ09iUGMxUWpwSUtycWxuMFpR?oc=5,"Wed, 05 Feb 2020 08:00:00 GMT",[No article text found]
How Wuhan residents are trying to live their lives under lockdown - CNN,https://news.google.com/rss/articles/CBMidkFVX3lxTE9hQW1CUXBtc3lSVllLUkxtNnBmTU1rdl9iNTJ3VVpfT2VySkVPVzZaY3dpM0VUUnNMdVZlNTg3Q1k4b3pQaS1yWXEtc0VSVUhDblpTVVRKLU9mTmpWcWE3M1gyNjhWLVN5a2VUYkhheXNLT3UyS2c?oc=5,"Thu, 30 Jan 2020 08:00:00 GMT",[No article text found]
Anxiety and empty shelves after weeks of coronavirus lockdown in China’s Wuhan - CNN,https://news.google.com/rss/articles/CBMiggFBVV95cUxNV3l5VTh2b1hJQ3ZFTTk3Qi13MkFleFBqX0R5X1pzd2RhNnlOOEpMYnRzTXFDSldlXzhpc2MxZUVzSnhiazlqdzlycm0yOG5Eb3pZZFRLYW5VNlRkNS0xN2NENjhINlloVHNGV3RER2daNHhzLUhZdXk4RGpYam5qdmN3?oc=5,"Sat, 08 Feb 2020 08:00:00 GMT",[No article text found]
"Wuhan coronavirus death toll rises, as city imposes transport lockdown - CNN",https://news.google.com/rss/articles/CBMigAFBVV95cUxPSnp6LUVQd2x3eTZRNk4yQTZUWU1zYzNDSVVFUll4eVo0cVNfZWo5VWlXVzBRMmdJSXRQLWFMeWFpdTVlWXd4cUh0ZGIwU3lxc3lKNm9rY1dwVW5mdUt3SmxYMXdUSDFQaDctV1k2d3hCQkZHVzF2NzlnazRwazZkdw?oc=5,"Wed, 22 Jan 2020 08:00:00 GMT",[No article text found]
Kim Jong Un’s aunt spotted for first time since husband’s execution - CNN,https://news.google.com/rss/articles/CBMifEFVX3lxTE9HUXFsekhhRVFkTGVONTBLT3RJbFRHSmQ2b2pzQTZsSy1ESm5ubjFDSTNuLS1salUyVnFYcFkxZU1SQ04tN1gwVXNsNDFzcy1aV1pZUUk0Q21PNFgtR0h4Y0hJQzdScXNMdUdIUXpVN2lpT2lUSVE4c29lRkU?oc=5,"Mon, 27 Jan 2020 08:00:00 GMT",[No article text found]
Ikea shuts down all mainland China stores over coronavirus - CNN,https://news.google.com/rss/articles/CBMib0FVX3lxTE8yTUh2ZlNCZVU5cDF4UTFJNksxN3pQU2VNNkRSRU9QblIydHJpeEFtRmZLRGNjd0pjUWhDUU5QUXRHM2h3ZE1VQi1Vb1lJV0c2V3JSOE1PMkRoMUpMRHNKSm83TTJuM1dTLUJuWlREMA?oc=5,"Thu, 30 Jan 2020 08:00:00 GMT",[No article text found]
The memory of SARS looms over the Wuhan virus. Here’s how the outbreaks compare - CNN,https://news.google.com/rss/articles/CBMigwFBVV95cUxQZ0l0cUhGZ3haekplbGp2SXc3WTRZTGkxWV9aX3A1QVJzVnFSalB4SVlPZ3RQMEVwb05sQk5XcFZwR09SVHBhR0hHYVhuc2pCUWh3dG03WURnajZVUEtPUmlzUm40cHNWWXowTklVcm0waUJWd09YeERfS25iSW5IUHQ2dw?oc=5,"Wed, 29 Jan 2020 08:00:00 GMT",[No article text found]
CDC advisers concerned about lack of basic information about new Wuhan coronavirus - CNN,https://news.google.com/rss/articles/CBMid0FVX3lxTE5uTlAtRWhHamQwUll0VWxwZEo2RjVLUGtFRkhtakY0ZHltUWlRU2U2NFhzVTFiYUYtekozOGFDRGhfbzZ6YXE2T3dKS2tMeEphei1LSVpWZld2a3BrOXd6dFhWQmZoaFFQRm9yTWVhT1FFRlJKV2dF?oc=5,"Thu, 23 Jan 2020 08:00:00 GMT",[No article text found]
Toyota won’t reopen China plants for at least another week as coronavirus shows little sign of slowing down - CNN,https://news.google.com/rss/articles/CBMidEFVX3lxTE80b3NHTnFOT3h3cEVWNC1WN3FqQ0NOVjZyX1p4cG53U0lPQ29hTXVDX3dLQUsxTWRpZ3N6UVJ4cHJGYkpFNzBna3IyZ3gzWjJ0MklNRGVCSXlOSmpQcy1vRjVIckZtYUYxM1c1S01iMWFobFVU?oc=5,"Fri, 07 Feb 2020 08:00:00 GMT",[No article text found]
"Wuhan coronavirus: Whistleblower doctor dies as confirmed cases top 30,000 - CNN",https://news.google.com/rss/articles/CBMieEFVX3lxTE5STU94NU9XS0FHS250aEVuLUx1amZaSWpfb0pmZlhVSmpLbkNiMS1rQlZKS2hSd254eXNFWkJHR2VnTGpVR1NyNzNXUUhzUjFNNG81cGlEbTAyZF9UZHBweHFBZjFKSVBJMGFIUC1iVzg5MklCQnJYSQ?oc=5,"Fri, 07 Feb 2020 08:00:00 GMT",[No article text found]
